,F%,Mol. Weight,H-bonds Donors,H-bonds Acceptors,(N+O),logP mean,logP sd,logS mean,logS sd,NPSA mean,NPSA mean,PSA mean,PSA sd,Rgyr mean,Rgyr sd,Gsolv mean,Gsolv sd,RotBonds,Amine groups,Amidine/Guanidine groups,Carboxylic Acid groups,Amide groups,RO5 violations
"cyc(Gly-Leu), 2",,170.211,2,5,4,-1.08,0.018520259,1.225,0.304478242,237.241,11.96005882,134.242,14.94037894,2.49,0.075055535,7.46,0.043588989,2,0,0,0,2,0
"Alaptide, 3",,182.222,2,5,4,-0.799,0.081818906,0.287,0.076173049,271.385,10.88846474,116.608,0.751970966,2.46,0.01,7.5,0.005773503,0,0,0,0,2,0
"Sanjoinine A, 4",,534.697,2.25,9.5,8,3.287,0.034117444,-3.516,0.236546683,495.983,13.89540015,53.318,4.185417701,3.91,0.015275252,16.14,0.188237439,8,1,0,0,2,1
"NEP/ACE dual inhibitor, 5",,490.613,1.25,10.45,8,2.078,0.245424802,-3.854,0.697650581,440.451,18.67897928,178.13,26.7553957,4.78,0.640234332,15.93,1.087443485,8,0,0,0,2,0
"NEP/ACE dual inhibitor, 6",,305.45,1.25,3.75,4,2.978,0.006082763,-3.562,0.043131582,301.122,0.540905722,124.996,2.432783796,3.44,0.005773503,9.74,0.032145503,3,0,0,1,1,0
"TACE inhibitor, 7",,527.617,3.5,14.9,13,-1.293,0.155635257,-1.326,0.469054368,550.843,32.47271434,220.708,9.017490856,4.85,0.273007936,16.36,0.27061658,7,0,0,0,4,2
"TACE inhibitor, 8",,462.545,3.5,10.95,10,-0.33,0.035907288,-1.163,0.469805279,418.744,15.49476074,139.678,18.24262378,3.76,0.01,15.88,0.096436508,7,0,0,0,4,0
"Beauverolide III, 9",,487.638,3,9.5,8,2.443,0.066161419,-3.812,0.118255373,538.315,9.181433675,112.077,2.44893875,4.39,0.072111026,16.58,0.742316195,8,0,0,0,3,0
"Chlamydocin, 10",47,512.605,1.5,13,10,-0.031,0.201594477,-1.538,0.441407219,461.407,15.44267247,81.417,16.0647944,4,0.115036226,15.28,0.545007645,9,0,0,0,4,1
"Weber-1992, 11",,735.931,2.25,17.65,13,2.437,0.244055322,-3.087,0.663450827,658.848,20.76074784,144.274,9.569705185,5.05,0.165025251,20.9,0.489523578,12,1,0,0,2,2
"Weber-1992, 12",1,725.924,2.25,16.15,13,1.708,0.142549407,-1.112,0.711396748,667.733,27.14088672,108.925,14.31441026,4.92,0.104403065,19.23,0.564476158,11,3,0,0,2,2
"Yang-1993, 13",,723.982,1.25,15.15,11,3.466,0.32371644,-2.834,0.139,674.868,5.006852238,78.494,12.52670555,4.86,0.122202019,20.16,0.535941539,12,1,0,0,2,2
"HCV NS3 protease inhibitor, 14",2,698.814,1.5,11,12,6.304,0.016072751,-9.932,0.077349855,602.291,3.506571307,144.803,2.184344829,5.69,0.005773503,22.85,0.140118997,7,0,0,1,2,3
"HCV NS3 protease inhibitor, 15",22,700.83,1.5,11,12,6.263,0.004,-8.755,0.007211103,601.586,2.590729434,139.588,3.926159616,5.61,0.02081666,23.17,0.135769412,7,0,0,1,2,3
"HCV NS3 protease inhibitor, 16",8,762.876,2.5,15,15,4.915,0.274248671,-9.391,0.954964048,691.788,48.28046773,208.25,3.202566523,5.98,0.262741952,23.7,0.723901467,7,0,0,1,2,2
"Ciluprevir, 17",13,774.93,2.5,13,14,5.356,0.666064812,-7.575,1.189241075,604.623,84.82317556,183.637,41.54758069,5.33,0.34122329,21.14,0.942408263,8,0,0,1,2,3
"Danoprevir, 18",20,717.851,2.25,14.25,13,4.324,0.007549834,-8.027,0.098520725,717.287,3.328166312,155.352,5.362206107,5.57,0.036055513,21.09,0.100664459,7,0,0,0,2,2
