Compound,Number,F rats,Mean RMSD,I1/I3 H2O,I2/I3 H2O,I1/I3 CHCl3,I2/I3 CHCl3
"cyc(Gly-Leu), 2",2,,0.54,0.386926244,0.762184661,0.385551082,0.761113237
"Alaptide, 3",3,,0.36,0.334184642,0.826869487,0.332917116,0.824902194
"Sanjoinine A, 4",4,,1.74,0.647041981,0.809212827,0.815766543,0.939967319
"NEP/ACE dual inhibitor, 5",5,,1.6,0.277191366,0.843366618,0.281055523,0.839707775
"NEP/ACE dual inhibitor, 6",6,,0.64,0.459779974,0.630905908,0.475616829,0.63341537
"TACE inhibitor, 7",7,,2.02,0.303917621,0.769951526,0.291280893,0.784826411
"TACE inhibitor, 8",8,,3.34,0.378973416,0.730190301,0.715083622,0.848027131
"Beauverolide III, 9",9,,1.98,0.424179276,0.737159022,0.503942878,0.689056457
"Chlamydocin, 10",10,47,,0.519569991,0.960898078,0.526551183,0.940393714
"Weber-1992, 11",11,,3.44,0.427158865,0.889998643,0.420558714,0.859948242
"Weber-1992, 12",12,1,4.97,0.377395511,0.898939942,0.528142924,0.720520269
"Yang-1993, 13",13,,2.34,0.419742521,0.982790433,0.574228318,0.851494681
"HCV NS3 protease inhibitor, 14",14,2,2.84,0.524499494,0.754077636,0.437955343,0.691881176
"HCV NS3 protease inhibitor, 15",15,22,2.98,0.359625426,0.921771781,0.356656232,0.842881075
"HCV NS3 protease inhibitor, 16",16,8,2.99,0.56273126,0.675350135,0.437100072,0.654268876
"Ciluprevir, 17",17,13,1.69,0.506534548,0.817002162,0.546777164,0.794776703
"Danoprevir, 18",18,20,1.96,0.31942393,0.87317384,0.362484502,0.816619263
"TMC435, 19",19,44,1.62,0.416887516,0.697115249,0.447021715,0.724711326
"cyclic tripeptide, 20",20,97,3.68,0.49040546,0.926870587,0.412907058,0.819731282
"cyclic pentapeptide, 21",21,3,1.58,0.575242682,0.811085007,0.56971694,0.86856608
"Venkatraman-2009, 22",22,,4.89,0.328642667,0.905590704,0.531748279,0.931694687
"Venkatraman-2009, 23",23,,4.94,0.559801689,0.930127978,0.36228195,0.88535989
"Venkatraman-2009, 24",24,,5.28,0.607822412,0.798382871,0.345662205,0.897308682
"Venkatraman-2009, 25",25,,2.9,0.423213044,0.941790162,0.363845039,0.900373046
"Venkatraman-2009, 26",26,,5.87,0.694232738,0.768452052,0.272415221,0.896357853
"Venkatraman-2009, 27",27,,4.8,0.6971122,0.785876704,0.64571565,0.936643764
"MK-1220, 28",28,37,2.2,0.394110624,0.93053593,0.420245816,0.898116918
"MK-5172, 29",29,12,1.67,0.562680244,0.728120381,0.55289836,0.733699025
"Vaniprevir (MK-7009), 30",30,15,2.63,0.42577063,0.752602422,0.363405497,0.78050025
"HCV NS3/4A protease inhibitor, 31",31,8,1.67,0.339662284,0.863075829,0.363601629,0.794493333
"HCV NS3/4A protease inhibitor, 32",32,6,2.7,0.357562172,0.78983938,0.37055536,0.772742356
"HCV NS3/4A protease inhibitor, 33",33,5,2.59,0.343725581,0.837807818,0.380486922,0.761223271
"HCV NS3/4A protease inhibitor, 34",34,8,3.03,0.365882757,0.810251995,0.450829321,0.792861863
"HCV NS3/4A protease inhibitor, 35",35,13,2.94,0.360443914,0.788505842,0.373659543,0.774368375
"HCV NS3/4A protease inhibitor, 36",36,36,2.77,0.368624197,0.791103813,0.378937522,0.787458709
"HCV NS3 protease inhibitor, 37",37,,4.75,0.47382882,0.815125026,0.461927815,0.730416301
"NB-544, 40",40,,3.01,0.619541715,0.911486368,0.441633344,0.922886817
"NB-533, 41",41,,3.97,0.36597194,0.844617928,0.222383444,0.910551861
"NB-216, 42",42,,2.23,0.598936452,0.759049009,0.62852082,0.792799228
"NB-216, 43",43,,3.58,0.676026315,0.808135365,0.563890176,0.95150815
"NB-216, 44",44,,1.89,0.612268563,0.846241298,0.601131059,0.863648788
"NB-216, 45",45,,3.11,0.608055042,0.865873284,0.354788082,0.841342914
"CG-1, 47",47,10,2.06,0.492937668,0.727746701,0.425450293,0.810319582
"Apicidin, 48",48,17.5,3.39,0.432701446,0.840111721,0.551049562,0.792544175
"Romidepsin, 49",49,15.6,0.93,0.674097611,0.770632668,0.671283099,0.771429227
"cyc[Phe-D-Pro-Phe-Trp], 50",50,,2.82,0.480388167,0.800710054,0.501993188,0.857749264
"Ulimorelin, 51",51,24,2.39,0.390181618,0.828065626,0.649552979,0.859031594
"Ghrelin receptor agonist, 52",52,,1.86,0.594665123,0.756310665,0.564687084,0.811878264
"Ghrelin receptor agonist, 53",53,36,3.24,0.5997521,0.871704608,0.447636809,0.750861122
"DMP-728, 54",54,3,4.42,0.259314206,0.858729556,0.656594586,0.869424772
"alkoxy-cyc[Leu-enkephalin] analog, 55",55,,3.92,0.347652363,0.848709204,0.517669114,0.822389376
"alkoxy-cyc[DADLE] analog, 56",56,,2.02,0.693667666,0.822699277,0.648622225,0.826528958
"cinnamate-cyc[Leu-enkephalin], 57",57,,2.6,0.484381186,0.799459306,0.532516435,0.973134431
"Desmopressin, 58",58,0.1,4.99,0.645154545,0.741255591,0.604300842,0.968672953
"Veber_1979 somastatin analog A, 60",60,,5.31,0.558188406,0.871490646,0.579308455,0.837376608
"Veber_1979 somastatin analog B, 61",61,,3.82,0.621899514,0.941439052,0.764626948,0.848173227
"Veber_1979 somastatin analog C, 62",62,,4.51,0.624637439,0.832030701,0.592088857,0.856972246
"Veber_1981 somastatin analog, 63",63,,3.89,0.801203959,0.921670376,0.508775328,0.89488037
"Biron_2008 somastatin analog, 64",64,9.9,3.52,0.464376561,0.701842909,0.404256866,0.845797967
"Bauer_1982, somastatin analog, 65",65,,3.09,0.543858665,0.889394211,0.689373171,0.784073014
"Octreotide, 66",66,0.3,5.14,0.395054343,0.891435387,0.647764221,0.990366183
"PF1022A, 67",67,47,5.63,0.49642094,0.767281409,0.68986314,0.979793769
"Emodepside, 68",68,54,3.84,0.532124681,0.907458644,0.343134957,0.892165927
"cyc[LLLLPY], 69",69,28,2.45,0.441168533,0.799430149,0.473499515,0.82993015
"Ilatreotide, 70",70,1.1,4.07,0.759225562,0.889378754,0.510728362,0.874711218
"cyclic NK-1 inhibitor, 71",71,,3.33,0.605793467,0.790242906,0.707720947,0.775691804
"BL3020-1, 72",72,8.5,3.29,0.379813304,0.901312556,0.44240167,0.822096505
"Melanotan II, 73",73,4.6,6.33,0.693686565,0.924503918,0.537585104,0.81000777
"Anidulafungin, 74",74,,2.3,0.417829324,0.943268213,0.341602296,0.950369631
"Beauvericin, 74a",74a,,2.4,0.51654402,0.685604404,0.548240097,0.646517021
"Enniatin A, 75a",75a,,2.44,0.572840071,0.768450757,0.577526314,0.752449224
"Enniatin B, 75b",75b,,2.03,0.550035414,0.762513269,0.555989014,0.753914688
"Enniatin C, 75c",75c,,1.2,0.551179886,0.729625678,0.549922661,0.728116006
"Pristinamycin IA, 76",76,,4.87,0.423058387,0.996402113,0.552036433,0.809786386
"Pristinamycin IIA, 77",77,,2.82,0.505809891,0.631029997,0.258286747,0.821983
"Cyclochlorotine, 78",78,5,2.54,0.392106085,0.744153784,0.460999044,0.845285324
"Bouvardin, 79",79,9,2.58,0.324064007,0.776237794,0.22602716,0.945576289
"Nepaduant, 80",80,5,3.31,0.407856916,0.798285758,0.620085507,0.693721891
"Cyclosporin A, 81",81,30,5.45,0.597035297,0.898597112,0.423716265,0.807963791
"AFPep, 82",82,,4.4,0.638802687,0.905002861,0.558879626,0.798542989
"a-Amanitin, 83",83,,1.81,0.617473365,0.728064576,0.572622349,0.823784625
"Antanamide, 84",84,,4.38,0.55893083,0.845424086,0.317886854,0.903498764
