Compound,Number,F%,NPSA ratio CHCl3,PSA ratio CHCl3,Other CHCl3,NPSA ratio H2O,PSA ratio H2O,Other H2O,Total Charge
"cyc(Gly-Leu), 2",2,,0.64,0.36,0,0.64,0.36,0,0
"Alaptide, 3",3,,0.7,0.3,0,0.7,0.3,0,0
"Sanjoinine A, 4",4,,0.65,0.07,0.28,0.66,0.07,0.27,1
"NEP/ACE dual inhibitor, 5",5,,0.57,0.23,0.2,0.53,0.25,0.22,0
"NEP/ACE dual inhibitor, 6",6,,0.58,0.24,0.18,0.58,0.24,0.19,-1
"TACE inhibitor, 7",7,,0.73,0.29,0,0.72,0.28,0,0
"TACE inhibitor, 8",8,,0.63,0.21,0.16,0.55,0.29,0.17,0
"Beauverolide III, 9",9,,0.67,0.14,0.19,0.66,0.14,0.2,0
"Chlamydocin, 10",10,47,0.63,0.11,0.26,0.58,0.2,0.22,0
"Weber-1992, 11",11,,0.68,0.15,0.17,0.7,0.14,0.16,0
"Weber-1992, 12",12,1,0.71,0.12,0.17,0.68,0.17,0.15,1
"Yang-1993, 13",13,,0.71,0.08,0.2,0.71,0.1,0.19,0
"HCV NS3 protease inhibitor, 14",14,2,0.56,0.13,0.31,0.52,0.18,0.29,0
"HCV NS3 protease inhibitor, 15",15,22,0.57,0.13,0.3,0.57,0.14,0.29,0
"HCV NS3 protease inhibitor, 16",16,8,0.6,0.18,0.21,0.57,0.21,0.22,0
"Ciluprevir, 17",17,13,0.61,0.18,0.21,0.62,0.17,0.21,0
"Danoprevir, 18",18,20,0.67,0.15,0.18,0.62,0.18,0.2,0
"TMC435, 19",19,44,0.73,0.11,0.17,0.71,0.11,0.18,-1
"cyclic tripeptide, 20",20,97,0.71,0.13,0.16,0.74,0.11,0.15,0
"cyclic pentapeptide, 21",21,3,0.66,0.13,0.21,0.66,0.15,0.19,0
"Venkatraman-2009, 22",22,,0.71,0.17,0.12,0.73,0.19,0.09,0
"Venkatraman-2009, 23",23,,0.78,0.17,0.05,0.77,0.18,0.05,0
"Venkatraman-2009, 24",24,,0.67,0.15,0.18,0.66,0.17,0.16,0
"Venkatraman-2009, 25",25,,0.65,0.15,0.19,0.65,0.18,0.16,0
"Venkatraman-2009, 26",26,,0.78,0.17,0.04,0.79,0.17,0.04,0
"Venkatraman-2009, 27",27,,0.88,0.08,0.03,0.81,0.16,0.04,0
"MK-1220, 28",28,37,0.72,0.13,0.15,0.66,0.18,0.16,-1
"MK-5172, 29",29,12,0.68,0.17,0.14,0.67,0.17,0.15,-1
"Vaniprevir (MK-7009), 30",30,15,0.72,0.16,0.13,0.68,0.19,0.13,-1
