Compound,Number,MEDIAN RMSD,MEAN RMSD,STD ERROR RMSD,reldiffSASA,reldiffNPSA,reldiffPSA,reldiffVol,reldiffGlob,reldiffLogP,reldiffR-gyr,F
"cyc(Gly-Leu), 2",2,1.46,0.54,0.256,0.03,0.03,0.02,0.01,0.02,-0.01,0.03,
"Alaptide, 3",3,0.49,0.36,0.129,0.48,0.43,0.51,0.59,0.04,1.23,0.37,
"Sanjoinine A, 4",4,2.02,1.74,0.233,0.02,0.01,0.01,0.01,0.02,0.12,0,
"NEP/ACE dual inhibitor, 5",5,2.61,1.6,0.523,0,0.07,0.06,0,0,0.11,0,
"NEP/ACE dual inhibitor, 6",6,1.02,0.64,0.154,0.01,0.02,0.02,0.01,0.01,0.01,0.01,
"TACE inhibitor, 7",7,1.8,2.02,0.161,0.07,0.06,0.04,0.03,0.05,-0.04,0.05,
"TACE inhibitor, 8",8,3.42,3.34,0.057,0.05,0.09,0.31,0.04,0.03,-0.33,0.12,
"Beauverolide III, 9",9,2.58,1.98,0.25,0.01,0.02,0,0,0.01,0.01,0.02,
"Chlamydocin, 10",10,,,,0.01,0.07,0.45,0.01,0.01,-6.76,0.07,47
"Weber-1992, 11",11,3.97,3.44,0.258,0.07,0.1,0.04,0.03,0.05,0.17,0.08,
"Weber-1992, 12",12,5.04,4.97,0.056,0.02,0.02,0.32,0.02,0.01,0.35,0.06,1
"Yang-1993, 13",13,2.85,2.34,0.411,0.02,0.02,0.15,0,0.02,0.13,0,
"HCV NS3 protease inhibitor, 14",14,2.85,2.84,0.035,0.11,0.17,0.18,0.04,0.08,0.13,0.11,2
"HCV NS3 protease inhibitor, 15",15,3.07,2.98,0.065,0.02,0.01,0.04,0.01,0.02,0.02,0.01,22
"HCV NS3 protease inhibitor, 16",16,3.09,2.99,0.206,0.1,0.15,0.04,0.05,0.07,0.15,0.1,8
"Ciluprevir, 17",17,1.4,1.69,0.37,0.01,0.03,0.04,0,0.01,0.05,0.02,13
"Danoprevir, 18",18,1.91,1.96,0.09,0.08,0.15,0.14,0.03,0.06,0.13,0.04,20
"TMC435, 19",19,2.21,1.62,0.254,0.01,0.01,0.05,0.01,0.01,0.02,0.01,44
"cyclic tripeptide, 20",20,4.56,3.68,0.368,0.03,0.01,0.14,0.01,0.03,0.01,0.07,97
"cyclic pentapeptide, 21",21,1.55,1.58,0.078,0.01,0,0.12,0.01,0,0.05,0.01,3
"Venkatraman-2009, 22",22,4.86,4.89,0.106,0.11,0.13,0.17,0.06,0.07,0.15,0.14,
"Venkatraman-2009, 23",23,4.93,4.94,0.087,0.09,0.11,0.03,0.04,0.06,0.17,0.14,
"Venkatraman-2009, 24",24,5.22,5.28,0.07,0.07,0.07,0.04,0.03,0.05,0.18,0.17,
"Venkatraman-2009, 25",25,2.98,2.9,0.182,0.05,0.04,0.12,0.03,0.03,0.15,0.05,
"Venkatraman-2009, 26",26,5.79,5.87,0.055,0.12,0.11,0.16,0.05,0.09,0.09,0.2,
"Venkatraman-2009, 27",27,4.78,4.8,0.019,0.07,0.02,0.5,0.04,0.04,0.01,0.07,
"MK-1220, 28",28,2.6,2.2,0.278,0.03,0.11,0.25,0.01,0.03,0.09,0.03,37
"MK-5172, 29",29,1.45,1.67,0.287,0.03,0.02,0.04,0.03,0,0.08,0,12
"Vaniprevir (MK-7009), 30",30,2.49,2.63,0.172,0.02,0.03,0.2,0.01,0.01,0.02,0.01,15
